,sig_pos,sig_vel,sig_GPS,Ground Truth,GPS measurement,IMU measurement,BS estimates,IMU estimates,GPS estimates,no of simulations
0,0.0,0.0,0.01,0.9945,0.9865,0.5045,0.999,0.922,0.9935,2000
1,0.0,0.0,0.05,0.9965,0.702,0.513,0.998,0.9295,0.984,2000
2,0.0,0.0,0.1,0.9965,0.519,0.502,0.999,0.929,0.972,2000
3,0.0,0.0,0.5,0.997,0.467,0.5195,0.998,0.9385,0.9985,2000
4,0.0,0.0,1.0,0.998,0.5715,0.5115,0.9995,0.9205,1.0,2000
5,0.0,0.1,0.01,0.2775,0.2785,0.2795,0.213,0.257,0.27,2000
6,0.0,0.1,0.05,0.29,0.289,0.281,0.2135,0.267,0.266,2000
7,0.0,0.1,0.1,0.284,0.2875,0.276,0.209,0.2625,0.2375,2000
8,0.0,0.1,0.5,0.2735,0.3255,0.278,0.206,0.2525,0.1505,2000
9,0.0,0.1,1.0,0.29,0.448,0.294,0.222,0.2715,0.0995,2000
10,0.0,0.2,0.01,0.2495,0.2515,0.2475,0.2015,0.241,0.2465,2000
11,0.0,0.2,0.05,0.253,0.256,0.255,0.213,0.247,0.2405,2000
12,0.0,0.2,0.1,0.237,0.2335,0.2305,0.199,0.226,0.2135,2000
13,0.0,0.2,0.5,0.259,0.2415,0.2535,0.2155,0.25,0.1605,2000
14,0.0,0.2,1.0,0.2465,0.303,0.24,0.2025,0.2335,0.11,2000
15,0.0,0.4,0.01,0.163,0.1615,0.1525,0.1365,0.1605,0.1605,2000
16,0.0,0.4,0.05,0.1645,0.1605,0.161,0.1345,0.164,0.1585,2000
17,0.0,0.4,0.1,0.149,0.1455,0.151,0.118,0.1445,0.133,2000
18,0.0,0.4,0.5,0.1575,0.1315,0.1515,0.1235,0.1535,0.0965,2000
19,0.0,0.4,1.0,0.159,0.1635,0.1525,0.1295,0.1595,0.065,2000
20,0.0,0.8,0.01,0.0555,0.0555,0.0565,0.042,0.0535,0.054,2000
21,0.0,0.8,0.05,0.067,0.0665,0.0625,0.052,0.066,0.06,2000
22,0.0,0.8,0.1,0.0635,0.061,0.0605,0.0505,0.0615,0.0555,2000
23,0.0,0.8,0.5,0.056,0.0525,0.055,0.048,0.056,0.0365,2000
24,0.0,0.8,1.0,0.0545,0.07,0.055,0.043,0.0525,0.0225,2000
25,0.0,1.6,0.01,0.0225,0.022,0.0225,0.0195,0.022,0.0215,2000
26,0.0,1.6,0.05,0.0195,0.017,0.0175,0.014,0.0165,0.015,2000
27,0.0,1.6,0.1,0.017,0.018,0.0175,0.0145,0.016,0.0145,2000
28,0.0,1.6,0.5,0.018,0.015,0.0165,0.0145,0.0175,0.011,2000
29,0.0,1.6,1.0,0.0265,0.029,0.0225,0.0185,0.025,0.0065,2000
30,0.01,0.0,0.01,0.4575,0.4585,0.419,0.1315,0.181,0.3885,2000
31,0.01,0.0,0.05,0.445,0.4445,0.3935,0.117,0.176,0.2455,2000
32,0.01,0.0,0.1,0.449,0.4145,0.414,0.1335,0.1795,0.191,2000
33,0.01,0.0,0.5,0.437,0.432,0.415,0.1245,0.187,0.0185,2000
34,0.01,0.0,1.0,0.449,0.55,0.4175,0.127,0.187,0.0,2000
35,0.01,0.1,0.01,0.2985,0.2975,0.299,0.2245,0.263,0.293,2000
36,0.01,0.1,0.05,0.2835,0.2775,0.2805,0.212,0.246,0.2505,2000
37,0.01,0.1,0.1,0.2645,0.2695,0.2715,0.202,0.235,0.2275,2000
38,0.01,0.1,0.5,0.2985,0.3415,0.2905,0.2205,0.2575,0.16,2000
39,0.01,0.1,1.0,0.282,0.4215,0.279,0.21,0.2435,0.092,2000
40,0.01,0.2,0.01,0.2435,0.245,0.2405,0.1965,0.2215,0.2385,2000
41,0.01,0.2,0.05,0.2315,0.23,0.227,0.1845,0.2085,0.21,2000
42,0.01,0.2,0.1,0.263,0.258,0.261,0.2125,0.2425,0.2325,2000
43,0.01,0.2,0.5,0.247,0.2405,0.244,0.199,0.2235,0.1635,2000
44,0.01,0.2,1.0,0.2355,0.3065,0.2305,0.1925,0.214,0.099,2000
45,0.01,0.4,0.01,0.155,0.156,0.1425,0.1245,0.142,0.151,2000
46,0.01,0.4,0.05,0.1625,0.16,0.154,0.1265,0.151,0.1535,2000
47,0.01,0.4,0.1,0.1735,0.1625,0.164,0.1355,0.1615,0.1555,2000
48,0.01,0.4,0.5,0.1495,0.1425,0.145,0.125,0.1425,0.0935,2000
49,0.01,0.4,1.0,0.1645,0.164,0.1515,0.1365,0.154,0.0745,2000
50,0.01,0.8,0.01,0.0555,0.056,0.0525,0.042,0.0495,0.053,2000
51,0.01,0.8,0.05,0.0545,0.055,0.0485,0.0415,0.051,0.0475,2000
52,0.01,0.8,0.1,0.0585,0.0565,0.0585,0.048,0.055,0.0515,2000
53,0.01,0.8,0.5,0.058,0.058,0.0585,0.0445,0.0545,0.0355,2000
54,0.01,0.8,1.0,0.0515,0.0635,0.0515,0.04,0.048,0.0165,2000
55,0.01,1.6,0.01,0.017,0.0175,0.017,0.012,0.017,0.0175,2000
56,0.01,1.6,0.05,0.0195,0.019,0.0165,0.016,0.017,0.0185,2000
57,0.01,1.6,0.1,0.0245,0.0235,0.0245,0.0185,0.0215,0.0195,2000
58,0.01,1.6,0.5,0.0195,0.024,0.0195,0.015,0.017,0.0105,2000
59,0.01,1.6,1.0,0.018,0.0225,0.0185,0.0145,0.0185,0.005,2000
60,0.05,0.0,0.01,0.2825,0.284,0.286,0.14,0.1715,0.264,2000
61,0.05,0.0,0.05,0.304,0.3055,0.3055,0.162,0.1985,0.23,2000
62,0.05,0.0,0.1,0.2965,0.2995,0.305,0.1695,0.2035,0.197,2000
63,0.05,0.0,0.5,0.2975,0.3695,0.293,0.1555,0.1945,0.0895,2000
64,0.05,0.0,1.0,0.2965,0.498,0.2955,0.1615,0.2005,0.0415,2000
65,0.05,0.1,0.01,0.2655,0.2625,0.2595,0.1815,0.206,0.2535,2000
66,0.05,0.1,0.05,0.275,0.274,0.2715,0.178,0.207,0.2305,2000
67,0.05,0.1,0.1,0.3035,0.303,0.3015,0.2085,0.2325,0.234,2000
68,0.05,0.1,0.5,0.2725,0.323,0.275,0.194,0.225,0.1365,2000
69,0.05,0.1,1.0,0.276,0.419,0.274,0.1955,0.219,0.0885,2000
70,0.05,0.2,0.01,0.2535,0.2525,0.256,0.193,0.2215,0.247,2000
71,0.05,0.2,0.05,0.2415,0.238,0.2335,0.19,0.2055,0.2165,2000
72,0.05,0.2,0.1,0.2305,0.2275,0.2255,0.1825,0.205,0.199,2000
73,0.05,0.2,0.5,0.2565,0.2505,0.2465,0.198,0.222,0.1555,2000
74,0.05,0.2,1.0,0.2195,0.2685,0.2175,0.171,0.182,0.088,2000
75,0.05,0.4,0.01,0.1525,0.1525,0.147,0.121,0.1335,0.15,2000
76,0.05,0.4,0.05,0.1495,0.149,0.1445,0.1155,0.1295,0.1355,2000
77,0.05,0.4,0.1,0.1735,0.1635,0.1535,0.1295,0.1465,0.14,2000
78,0.05,0.4,0.5,0.165,0.1385,0.157,0.125,0.143,0.0895,2000
79,0.05,0.4,1.0,0.163,0.1795,0.157,0.1175,0.133,0.0635,2000
80,0.05,0.8,0.01,0.0635,0.0645,0.065,0.048,0.0555,0.066,2000
81,0.05,0.8,0.05,0.064,0.0635,0.062,0.0555,0.0585,0.06,2000
82,0.05,0.8,0.1,0.0615,0.055,0.0605,0.0495,0.052,0.0535,2000
83,0.05,0.8,0.5,0.0685,0.0525,0.0645,0.0565,0.057,0.0415,2000
84,0.05,0.8,1.0,0.064,0.0695,0.0635,0.0465,0.0515,0.025,2000
85,0.05,1.6,0.01,0.0185,0.018,0.0155,0.0165,0.016,0.0185,2000
86,0.05,1.6,0.05,0.0185,0.021,0.0195,0.013,0.0135,0.0165,2000
87,0.05,1.6,0.1,0.021,0.0215,0.024,0.015,0.0195,0.0185,2000
88,0.05,1.6,0.5,0.0145,0.014,0.0115,0.0095,0.0115,0.005,2000
89,0.05,1.6,1.0,0.0205,0.0245,0.022,0.014,0.0155,0.0045,2000
90,1.0,0.0,0.01,0.024,0.024,0.023,0.0205,0.0215,0.0245,2000
91,1.0,0.0,0.05,0.023,0.0245,0.025,0.0175,0.0205,0.022,2000
92,1.0,0.0,0.1,0.027,0.029,0.0285,0.0175,0.021,0.024,2000
93,1.0,0.0,0.5,0.033,0.035,0.031,0.0155,0.026,0.0085,2000
94,1.0,0.0,1.0,0.0255,0.032,0.025,0.015,0.019,0.0,2000
95,1.0,0.1,0.01,0.029,0.029,0.0295,0.0235,0.0225,0.027,2000
96,1.0,0.1,0.05,0.0255,0.025,0.024,0.015,0.016,0.02,2000
97,1.0,0.1,0.1,0.026,0.0265,0.0245,0.016,0.0225,0.0215,2000
98,1.0,0.1,0.5,0.026,0.0265,0.0275,0.014,0.0225,0.0055,2000
99,1.0,0.1,1.0,0.027,0.0315,0.0245,0.018,0.018,0.0,2000
100,1.0,0.2,0.01,0.0315,0.0315,0.0315,0.018,0.027,0.031,2000
101,1.0,0.2,0.05,0.0255,0.0245,0.023,0.018,0.018,0.0205,2000
102,1.0,0.2,0.1,0.0235,0.0245,0.023,0.0135,0.02,0.0205,2000
103,1.0,0.2,0.5,0.024,0.029,0.024,0.0165,0.0195,0.006,2000
104,1.0,0.2,1.0,0.028,0.038,0.0255,0.016,0.021,0.0,2000
105,1.0,0.4,0.01,0.026,0.025,0.0245,0.0185,0.0225,0.025,2000
106,1.0,0.4,0.05,0.0285,0.028,0.029,0.0165,0.0215,0.029,2000
107,1.0,0.4,0.1,0.0275,0.0255,0.026,0.0145,0.0235,0.0215,2000
108,1.0,0.4,0.5,0.023,0.022,0.021,0.0145,0.0155,0.005,2000
109,1.0,0.4,1.0,0.028,0.0365,0.0295,0.0185,0.0235,0.0,2000
110,1.0,0.8,0.01,0.0185,0.0175,0.02,0.0115,0.016,0.018,2000
111,1.0,0.8,0.05,0.0195,0.0215,0.0185,0.0115,0.0145,0.017,2000
112,1.0,0.8,0.1,0.021,0.022,0.021,0.018,0.0195,0.019,2000
113,1.0,0.8,0.5,0.0245,0.0255,0.0215,0.0145,0.0185,0.0055,2000
114,1.0,0.8,1.0,0.024,0.03,0.0255,0.014,0.0175,0.0,2000
115,1.0,1.6,0.01,0.014,0.014,0.013,0.01,0.0085,0.011,2000
116,1.0,1.6,0.05,0.0135,0.013,0.013,0.009,0.0115,0.013,2000
117,1.0,1.6,0.1,0.015,0.0155,0.015,0.0105,0.011,0.0105,2000
118,1.0,1.6,0.5,0.012,0.013,0.0115,0.0085,0.0115,0.0025,2000
119,1.0,1.6,1.0,0.0135,0.0175,0.0165,0.009,0.013,0.0,2000
120,2.0,0.0,0.01,0.0155,0.0155,0.016,0.011,0.0145,0.0145,2000
121,2.0,0.0,0.05,0.014,0.0125,0.013,0.007,0.009,0.0095,2000
122,2.0,0.0,0.1,0.0155,0.014,0.013,0.014,0.011,0.01,2000
123,2.0,0.0,0.5,0.0125,0.0145,0.0135,0.0115,0.01,0.0015,2000
124,2.0,0.0,1.0,0.015,0.016,0.015,0.013,0.0115,0.0,2000
125,2.0,0.1,0.01,0.012,0.0115,0.0095,0.008,0.0075,0.0085,2000
126,2.0,0.1,0.05,0.014,0.014,0.0125,0.011,0.0115,0.012,2000
127,2.0,0.1,0.1,0.015,0.015,0.014,0.0105,0.0135,0.013,2000
128,2.0,0.1,0.5,0.0125,0.0125,0.014,0.012,0.0125,0.004,2000
129,2.0,0.1,1.0,0.0175,0.0185,0.0185,0.014,0.0135,0.0,2000
130,2.0,0.2,0.01,0.0135,0.0135,0.014,0.0115,0.01,0.012,2000
131,2.0,0.2,0.05,0.014,0.0135,0.015,0.0135,0.011,0.013,2000
132,2.0,0.2,0.1,0.011,0.01,0.011,0.011,0.011,0.008,2000
133,2.0,0.2,0.5,0.012,0.0125,0.0115,0.011,0.0105,0.0045,2000
134,2.0,0.2,1.0,0.01,0.014,0.0095,0.0105,0.011,0.0,2000
135,2.0,0.4,0.01,0.011,0.011,0.012,0.0095,0.0105,0.0115,2000
136,2.0,0.4,0.05,0.0155,0.015,0.0155,0.0105,0.0135,0.0135,2000
137,2.0,0.4,0.1,0.0135,0.0145,0.013,0.011,0.0125,0.012,2000
138,2.0,0.4,0.5,0.0125,0.0125,0.0125,0.011,0.01,0.0035,2000
139,2.0,0.4,1.0,0.0115,0.013,0.0115,0.012,0.0105,0.0,2000
140,2.0,0.8,0.01,0.0105,0.0105,0.0125,0.011,0.008,0.0095,2000
141,2.0,0.8,0.05,0.0125,0.0125,0.012,0.0115,0.011,0.012,2000
142,2.0,0.8,0.1,0.011,0.012,0.011,0.012,0.0095,0.0085,2000
143,2.0,0.8,0.5,0.014,0.014,0.014,0.0095,0.011,0.003,2000
144,2.0,0.8,1.0,0.013,0.017,0.0135,0.0065,0.008,0.0,2000
145,2.0,1.6,0.01,0.0105,0.0105,0.0115,0.0035,0.007,0.009,2000
146,2.0,1.6,0.05,0.012,0.0115,0.0125,0.009,0.0105,0.011,2000
147,2.0,1.6,0.1,0.013,0.0125,0.012,0.008,0.01,0.0095,2000
148,2.0,1.6,0.5,0.0095,0.011,0.0085,0.007,0.006,0.0025,2000
149,2.0,1.6,1.0,0.0145,0.01,0.0145,0.01,0.012,0.0,2000
